,name,origin
284,Bloise,Italian
285,Bocchino,Italian
286,Bocci,Italian
287,Boccia,Italian
288,Boccia,Italian
289,Boccio,Italian
290,Boccuzzi,Italian
291,Boffa,Italian
292,Bolio,Italian
293,Bologna,Italian
294,Bolognese,Italian
295,Bombara,Italian
296,Bommarito,Italian
297,Bona,Italian
298,Bonacci,Italian
299,Bonaccorsi,Italian
300,Borsa,Italian
301,Borsari,Italian
302,Boschetti,Italian
303,Bosco,Italian
304,Bosetti,Italian
305,Bosi,Italian
306,Bosio,Italian
307,Bosio,Italian
308,Boso,Italian
309,Bossio,Italian
310,Bosso,Italian
311,Bosso,Italian
312,Botta,Italian
313,Botta,Italian
314,Botta,Italian
315,Bottari,Italian
316,Bottaro,Italian
317,Botte,Italian
318,Botti,Italian
319,Botticelli,Italian
320,Bottiglieri,Italian
321,Bottini,Italian
322,Bottino,Italian
323,Botto,Italian
324,Botto,Italian
325,Bottone,Italian
326,Bottone,Italian
327,Bottoni,Italian
328,Bova,Italian
329,Bove,Italian
330,Bovino,Italian
331,Bozza,Italian
332,Bozza,Italian
333,Bozzelli,Italian
334,Bozzi,Italian
335,Bozzo,Italian
336,Bozzuto,Italian
337,Bracci,Italian
338,Braccia,Italian
339,Bracco,Italian
340,Bracco,Italian
341,Bracco,Italian
342,Bramante,Italian
343,Branca,Italian
344,Branca,Italian
345,Brancato,Italian
346,Branciforte,Italian
347,Branda,Italian
348,Branda,Italian
349,Brandi,Italian
350,Bueti,Italian
351,Bufalini,Italian
352,Bufalino,Italian
353,Buffa,Italian
354,Buffa,Italian
355,Buffo,Italian
356,Buffo,Italian
357,Buffone,Italian
358,Buglione,Italian
359,Bugni,Italian
360,Bugni,Italian
361,Bulla,Italian
362,Buonaiuto,Italian
363,Buonanno,Italian
364,Buonomo,Italian
365,Buonopane,Italian
366,Buratti,Italian
367,Burdi,Italian
368,Burgi,Italian
369,Burgio,Italian
370,Burgio,Italian
371,Burgo,Italian
372,Buro,Italian
373,Busa,Italian
374,Busacca,Italian
375,Busalacchi,Italian
376,Bussa,Italian
377,Bussone,Italian
378,Butta,Italian
379,Butta,Italian
380,Butta,Italian
381,Buttacavoli,Italian
382,Buttitta,Italian
383,Butto,Italian
384,Buzza,Italian
385,Buzzelli,Italian
386,Buzzelli,Italian
387,Buzzeo,Italian
388,Buzzi,Italian
389,Caccamise,Italian
390,Caccamo,Italian
391,Caccavale,Italian
392,Caccese,Italian
393,Cacchione,Italian
394,Caccia,Italian
395,Caccia,Italian
396,Cacciatore,Italian
397,Cacciola,Italian
398,Cafarella,Italian
399,Cafarelli,Italian
400,Camillo,Italian
401,Caminiti,Italian
402,Camino,Italian
403,Cammarano,Italian
404,Camozzi,Italian
405,Campagna,Italian
406,Campana,Italian
407,Campanale,Italian
408,Campanella,Italian
409,Campanelli,Italian
410,Campanile,Italian
411,Campi,Italian
412,Campi,Italian
413,Campione,Italian
414,Campione,Italian
415,Campise,Italian
416,Campitelli,Italian
417,Campo,Italian
418,Campobasso,Italian
419,Campodonico,Italian
420,Campoli,Italian
421,Campolo,Italian
422,Campopiano,Italian
423,Camporeale,Italian
424,Campus,Italian
425,Canal,Italian
426,Canale,Italian
427,Canali,Italian
428,Cancellieri,Italian
429,Candela,Italian
430,Candia,Italian
431,Candito,Italian
432,Canepa,Italian
433,Canevari,Italian
434,Cangialosi,Italian
435,Cannada,Italian
436,Cannone,Italian
437,Cannova,Italian
438,Cantalupo,Italian
439,Cantarella,Italian
440,Cantarella,Italian
441,Cantarella,Italian
442,Cantone,Italian
443,Cantone,Italian
444,Cantoni,Italian
445,Cantore,Italian
446,Canzano,Italian
447,Capaccio,Italian
448,Capaldi,Italian
449,Caparelli,Italian
450,Caranci,Italian
451,Carangelo,Italian
452,Carangelo,Italian
453,Carano,Italian
454,Caravella,Italian
455,Caravella,Italian
456,Caravello,Italian
457,Caravello,Italian
458,Carbonara,Italian
459,Carbone,Italian
460,Carboni,Italian
461,Carchidi,Italian
462,Carda,Italian
463,Cardamone,Italian
464,Cardarelli,Italian
465,Cardelli,Italian
466,Cardello,Italian
467,Cardello,Italian
468,Cardello,Italian
469,Cardi,Italian
470,Cardi,Italian
471,Cardile,Italian
472,Cardillo,Italian
473,Cardillo,Italian
474,Cardinale,Italian
475,Cardinali,Italian
476,Cardo,Italian
477,Cardone,Italian
478,Cardoni,Italian
479,Cardosi,Italian
480,Carducci,Italian
481,Cardullo,Italian
482,Carella,Italian
483,Carelli,Italian
484,Carello,Italian
485,Carfagna,Italian
486,Carfagno,Italian
487,Carfora,Italian
488,Carico,Italian
489,Carideo,Italian
490,Caridi,Italian
491,Caridi,Italian
492,Cariello,Italian
493,Carilli,Italian
494,Carinci,Italian
495,Carini,Italian
496,Carini,Italian
497,Carino,Italian
498,Carleo,Italian
499,Carleo,Italian
500,Casagrande,Italian
501,Casale,Italian
502,Casaletto,Italian
503,Casali,Italian
504,Casalino,Italian
505,Casamento,Italian
506,Casarella,Italian
507,Casasanta,Italian
508,Casassa,Italian
509,Casazza,Italian
510,Cascella,Italian
511,Casciani,Italian
512,Casciano,Italian
513,Casciano,Italian
514,Casciato,Italian
