,name,origin
290,Vasa,Indian
291,Venkataraman,Indian
292,Venkatesh,Indian
293,Verma,Indian
294,Vig,Indian
295,Virk,Indian
296,Viswanathan,Indian
297,Vohra,Indian
298,Vora,Indian
299,Vyas,Indian
